大类,地区/小类,子类,地点,学校,活动名,群号,群名称,说明
活动官方群,全国性活动,,全国,,幻奏盛宴,495118911,幻奏盛宴·幻想交响音乐会,
活动官方群,全国性活动,,全国,,东方LiveParty,602021232,东方LiveParty,
活动官方群,全国性活动,,全国,,幻响诗篇,679813918,幻响诗篇音乐交流会,
活动官方群,全国性活动,,全国,,魅知幻想博览会,992051946,魅知幻想博览会·博丽神主特别场圆满结束！祝贺大家新年快乐！,
活动官方群,全国性活动,,全国,,FumoOnly,210857240,FMOnly-02 Coming s∞n............,
活动官方群,地区性活动,北京市,北京市,,北京THO,705391298,『京华万象展』北京TouHouOnly,
活动官方群,地区性活动,北京市,北京市,,北京THP,256712815,北京THP-03（3月17日）游客交流群,
活动官方群,地区性活动,北京市,北京市,,北京东方百校天则,875442220,【游客群】第二届北京东方百校天则,
活动官方群,地区性活动,北京市,北京市,,清华大学东方例会,734457122,东方熙月华9th in THU 绝赞准备中,
活动官方群,地区性活动,北京市,北京市,,北京大学东方例会,685760810,第15届东方幻想指南游客群,
活动官方群,地区性活动,北京市,北京市,,北京航空航天大学东方例会,475079011,Next Dream…空之航路6th~少女失重中游客群,
活动官方群,地区性活动,北京市,北京市,,北邮北师联合例会,831723092,第四届thp，堂堂结束！,
活动官方群,地区性活动,天津市,天津市,,天津THO,925550208,天津THO02-九河恋海心,
活动官方群,地区性活动,天津市,天津市,,天津THO天璋世离现,550606762,天津THO天璋世离现-红魔雾馆,
活动官方群,地区性活动,天津市,天津市,,天津东方高校联合例会,958023119,天津TouHou高校联合,
活动官方群,地区性活动,天津市,天津市,,河北工业大学东方例会,753585030,河工例会游客群·圆满结束！,
活动官方群,地区性活动,天津市,天津市,,东方天南宴,536930559,天南大联合东方聚会-东方天南宴,
活动官方群,地区性活动,河北省,石家庄市,,河北THO,569551650,河北THO·交流群,
活动官方群,地区性活动,河北省,唐山市,,唐山THO,931919529,唐山THO01墨染樱幽梦（7.19）,
活动官方群,地区性活动,河北省,唐山市,,唐山THP,122315914,唐山东方project（721办唐山THP）,
活动官方群,地区性活动,河北省,秦皇岛市,,秦皇岛THP,912832761,秦皇岛thp——下次一定！,
活动官方群,地区性活动,河北省,保定市,,保定THO,245855214,保定东方交流群,
活动官方群,地区性活动,河北省,廊坊市,,廊坊THP,375077525,廊坊东方同好会——第一届thp东方云廊阙筹办中,
活动官方群,地区性活动,河北省,邯郸市,,邯郸THO,576377582,邯郸 THO 01-黄粱天夜宴 火热筹备中！,
活动官方群,地区性活动,山西省,太原市,,山西THO,877041339,山西东方project线下活动群-东方神灵晋绣24年8月10号定档！,
活动官方群,地区性活动,山西省,太原市,,太原THP,487968937,太原东方project线下活动群,
活动官方群,地区性活动,山西省,太原市,,山西东方高联例会（山西THUP）,830395537,山西THUP02圆满结束！,
活动官方群,地区性活动,山西省,太原市,,中北大学东方例会,823617317,幻想寒泉茶萃,
活动官方群,地区性活动,山西省,大同市,,大同THP,938625843,东方project大同同好会——让我们下半年再办一次活动吧！,
活动官方群,地区性活动,山西省,阳泉市,,阳泉THP,1103799732,阳泉THP东方丘密星宴，超级绝赞立项！,
活动官方群,地区性活动,内蒙古自治区,呼和浩特市,,内蒙古THO,874856775,内蒙古tho2·下次再见,
活动官方群,地区性活动,内蒙古自治区,呼和浩特市,,内蒙古THP,853846801,开工！蒙thp2暑假准备,
活动官方群,地区性活动,内蒙古自治区,包头市,,内蒙古雪THO,893393090,东方华胥梦☆专属东方Project的茶话小屋,
活动官方群,地区性活动,内蒙古自治区,通辽市,,通辽THP,602907559,通辽东方project同好会·新年快乐！,
活动官方群,地区性活动,内蒙古自治区,赤峰市,,蒙东联合thp,940949707,赤峰东方,欢迎赤峰及其其他地方的小伙伴来做客
活动官方群,地区性活动,辽宁省,沈阳市,,沈阳THO,787414958,沈阳THO·第六届叫啥呢,
活动官方群,地区性活动,辽宁省,沈阳市,,沈阳夏THO,901095176,8.11 沈阳夏tho 01游客群,
活动官方群,地区性活动,辽宁省,沈阳市,,沈航THP,902963497,沈航THP——飞想天则,沈航幻想乡外部群，欢迎沈阳本地及周边的车万同好来玩（点击图片入群）
